age,bin,attri_mort,attri_mort_lower,attri_mort_upper
25,15.5,0.000255708,0.00021169,0.000298592
30,15.5,0.00038315,0.000317153,0.000447455
35,15.5,0.00052402,0.000433763,0.000611972
40,15.5,0.000651282,0.000539198,0.000760531
45,15.5,0.000854674,0.000707526,0.000998163
50,15.5,0.001177081,0.000974217,0.00137501
55,15.5,0.001599205,0.001322914,0.001868932
60,15.5,0.002345975,0.001939364,0.002743175
65,15.5,0.003274547,0.00270472,0.003831595
70,15.5,0.004746148,0.003917566,0.005556861
75,15.5,0.006957615,0.005738113,0.008152094
80,15.5,0.009879771,0.008137585,0.011589307
85,15.5,0.025173785,0.020734675,0.029529701
25,16,0.000264489,0.000219025,0.000308753
30,16,0.000395512,0.000327483,0.000461754
35,16,0.000541854,0.000448661,0.000632613
40,16,0.000675317,0.000559263,0.000788366
45,16,0.000885184,0.000732998,0.001033496
50,16,0.001215538,0.001006332,0.00141953
55,16,0.001647574,0.001363309,0.001924926
60,16,0.00241294,0.001995267,0.002820715
65,16,0.003363959,0.002779297,0.003935185
70,16,0.004883503,0.004031965,0.005716223
75,16,0.007155159,0.005902443,0.008381534
80,16,0.010140635,0.008354302,0.011892687
85,16,0.025894026,0.021332638,0.030367876
25,16.5,0.000267259,0.000221386,0.000311895
30,16.5,0.000397826,0.000329498,0.000464319
35,16.5,0.000545903,0.000452148,0.000637153
40,16.5,0.000681851,0.00056484,0.000795761
45,16.5,0.000896251,0.000742376,0.001046117
50,16.5,0.001233537,0.001021523,0.001440146
55,16.5,0.001676511,0.001387636,0.001958197
60,16.5,0.002458544,0.002033524,0.00287326
65,16.5,0.003434771,0.002838551,0.004016975
70,16.5,0.004987845,0.004119148,0.005836892
75,16.5,0.007314935,0.006035718,0.00856665
80,16.5,0.010381959,0.008554995,0.01217304
85,16.5,0.026603665,0.021922089,0.031193292
25,17,0.000261054,0.000216309,0.000304566
30,17,0.000387882,0.000321356,0.000452582
35,17,0.000534756,0.000443043,0.000623963
40,17,0.000672301,0.000557088,0.000784392
45,17,0.000890277,0.000737635,0.001038855
50,17,0.001230716,0.001019471,0.001436459
55,17,0.001680282,0.001391132,0.001962075
60,17,0.002473082,0.002046088,0.002889493
65,17,0.003471952,0.002870021,0.004059429
70,17,0.005041168,0.004164222,0.005897868
75,17,0.007423189,0.00612648,0.008691389
80,17,0.010579358,0.008719524,0.012401847
85,17,0.027189543,0.022409665,0.031873443
25,17.5,0.000257393,0.000213337,0.000300207
30,17.5,0.000378238,0.000313456,0.000441202
35,17.5,0.000520131,0.000431051,0.000606726
40,17.5,0.000660625,0.000547571,0.000770552
45,17.5,0.000882106,0.000731072,0.001029032
50,17.5,0.001226511,0.001016268,0.001431159
55,17.5,0.00167723,0.001388979,0.001957988
60,17.5,0.002476166,0.002049182,0.002892342
65,17.5,0.003501024,0.00289478,0.004092385
70,17.5,0.005070022,0.004189081,0.00593017
75,17.5,0.00746803,0.006164929,0.008741865
80,17.5,0.010724512,0.008841075,0.012569315
85,17.5,0.027600096,0.022752972,0.032347795
25,18,0.000249537,0.000206887,0.000290961
30,18,0.000363696,0.000301493,0.000424118
35,18,0.000499442,0.000414024,0.000582425
40,18,0.00064004,0.00053066,0.00074633
45,18,0.000864429,0.000716624,0.001008129
50,18,0.001215,0.001007006,0.001417342
55,18,0.001673169,0.001385991,0.001952723
60,18,0.002481108,0.002053808,0.002897361
65,18,0.003531082,0.002920384,0.004126478
70,18,0.00510956,0.004222792,0.005974958
75,18,0.007543572,0.006228756,0.008828245
80,18,0.010910252,0.008996113,0.012784285
85,18,0.027989102,0.023078583,0.032796729
25,18.5,0.00024717,0.000204983,0.00028812
30,18.5,0.000358466,0.000297242,0.000417902
35,18.5,0.000489517,0.000405912,0.000570691
40,18.5,0.000629901,0.000522399,0.000734303
45,18.5,0.000857071,0.000710719,0.000999276
50,18.5,0.001211001,0.001003961,0.001412298
55,18.5,0.001662565,0.001377569,0.001939839
60,18.5,0.002485815,0.002058233,0.002902118
65,18.5,0.003559007,0.002944217,0.004158081
70,18.5,0.005145485,0.004253507,0.006015535
75,18.5,0.007612226,0.006286868,0.008906566
